school,id,conference,level,rating,rd,volatility,wins,losses
Maryland,560747.0,Big 10,power,1402.25,70.2395,0.059907,11,8
Massachusetts,560752.0,A-10,mid-major,1389.51,66.2783,0.0599793,12,6
McNeese,560755.0,Southland,mid-major,1536.8,81.0747,0.0599953,16,2
Memphis,560756.0,AAC,power,1664.98,71.895,0.0601592,15,4
Mercer,560758.0,Southern,mid-major,988.409,69.149,0.0597237,8,11
Merrimack,561096.0,NEC,mid-major,975.487,69.3913,0.0600062,10,10
Miami (FL),560763.0,ACC,power,1579.5,68.3626,0.0602722,12,6
Miami (OH),560761.0,MAC,mid-major,1034.72,68.2977,0.0599907,9,9
Michigan,560767.0,Big 10,power,1358.46,65.7356,0.060247,7,11
Michigan St.,560765.0,Big 10,power,1632.51,66.2736,0.0597593,12,7
Middle Tenn.,560769.0,C-USA,mid-major,890.562,69.8884,0.0601484,6,13
Milwaukee,561253.0,Horizon,mid-major,1035.16,66.3938,0.0600053,9,10
Minnesota,560772.0,Big 10,power,1420.66,70.3763,0.0598752,12,6
Mississippi St.,560773.0,SEC,power,1638.11,70.7137,0.0603703,13,5
Mississippi Val.,560775.0,SWAC,mid-major,-602.168,358.336,0.0599903,0,18
Missouri,560780.0,SEC,power,1331.79,74.5185,0.0599788,8,10
Missouri St.,561141.0,MVC,mid-major,1176.85,65.9781,0.0602186,10,9
Monmouth,560781.0,CAA,mid-major,1240.46,68.5347,0.0597658,10,9
Montana,560785.0,Big Sky,mid-major,1260.84,69.4593,0.0598832,12,6
Montana St.,560783.0,Big Sky,mid-major,1051.02,65.595,0.0599126,8,10
Morehead St.,560787.0,OVC,mid-major,1247.96,78.8913,0.0598068,15,5
Morgan St.,560789.0,MEAC,mid-major,539.442,79.6651,0.0598361,5,14
Mount St. Mary's,560791.0,MAAC,mid-major,818.626,66.5445,0.0597978,7,11
Murray St.,560792.0,MVC,mid-major,1096.61,67.6821,0.0604297,8,11
N.C. A&T,560974.0,CAA,mid-major,881.211,68.2662,0.0597395,6,13
N.C. Central,560976.0,MEAC,mid-major,967.004,69.7313,0.060176,10,8
NC State,560978.0,ACC,power,1642.2,71.9496,0.0597506,13,5
NIU,560994.0,MAC,mid-major,987.022,70.3217,0.0599682,6,11
NJIT,560961.0,Am. East,mid-major,707.834,74.493,0.0600297,4,13
Navy,561199.0,Patriot,mid-major,858.383,69.3666,0.0595331,8,9
Nebraska,560804.0,Big 10,power,1682.57,69.9645,0.0604041,14,5
Nevada,560810.0,MWC,mid-major,1553.05,71.92,0.0598705,15,4
New Hampshire,560958.0,Am. East,mid-major,1173.05,71.6326,0.059909,11,7
New Mexico,560964.0,MWC,mid-major,1724.85,76.1222,0.0600872,16,3
New Mexico St.,560963.0,C-USA,mid-major,1092.07,68.591,0.0600757,9,10
New Orleans,560966.0,Southland,mid-major,784.639,73.5049,0.0600075,7,11
Niagara,560968.0,MAAC,mid-major,955.776,67.2106,0.0600123,9,9
Nicholls,560970.0,Southland,mid-major,995.305,69.0188,0.0601228,8,10
Norfolk St.,560972.0,MEAC,mid-major,1073.2,69.1475,0.060104,12,8
North Ala.,560647.0,A-Sun,mid-major,794.959,71.6042,0.0598579,7,12
North Carolina,560796.0,ACC,power,1920.48,73.3866,0.0599906,15,3
North Dakota,560981.0,Summit,mid-major,988.83,64.8165,0.0597413,11,10
North Dakota St.,560980.0,Summit,mid-major,980.56,66.6151,0.0599959,9,11
North Florida,560628.0,A-Sun,mid-major,1107.02,71.1555,0.0600118,11,9
North Texas,560983.0,AAC,power,1381.84,68.1305,0.0598463,11,6
Northeastern,560988.0,CAA,mid-major,1086.33,65.9543,0.0598964,8,11
Northern Ariz.,560989.0,Big Sky,mid-major,1052.57,64.7433,0.0598839,9,10
Northern Colo.,560992.0,Big Sky,mid-major,1182.12,65.3653,0.0600542,11,7
Northern Ky.,560998.0,Horizon,mid-major,1120.63,68.5335,0.0598555,11,9
Northwestern,561002.0,Big 10,power,1669.53,71.6866,0.0604222,13,5
Northwestern St.,561000.0,Southland,mid-major,740.93,73.3062,0.059761,5,13
Notre Dame,561004.0,ACC,power,1249.77,72.1511,0.0602377,7,11
Oakland,561006.0,Horizon,mid-major,1354.57,68.825,0.0599486,12,8
Ohio,561010.0,MAC,mid-major,1059.83,64.4024,0.05982,9,9
Ohio St.,561008.0,Big 10,power,1553.22,68.4983,0.0600466,13,5
Oklahoma,561014.0,Big 12,power,1792.63,73.9409,0.0597863,15,3
Oklahoma St.,561012.0,Big 12,power,1193.09,71.466,0.0596626,8,10
Old Dominion,561016.0,Sunbelt,mid-major,823.654,70.7836,0.0607259,5,14
Ole Miss,560777.0,SEC,power,1743.54,75.4616,0.059843,15,3
Omaha,560806.0,Summit,mid-major,886.789,67.694,0.0604457,10,11
Oral Roberts,561018.0,Summit,mid-major,935.578,67.7428,0.059976,8,11
Oregon,561022.0,Pac 12,power,1600.54,67.2193,0.0597426,13,5
Oregon St.,561020.0,Pac 12,power,1302.68,67.574,0.0596327,9,9
Pacific,561024.0,WCC,mid-major,792.86,74.7645,0.05992,6,14
Penn,561029.0,Ivy,mid-major,1124.66,73.7599,0.0602908,9,9
Penn St.,561028.0,Big 10,power,1333.98,72.2255,0.0604112,9,10
Pepperdine,561031.0,WCC,mid-major,1085.5,70.7184,0.0596756,9,12
Pittsburgh,561033.0,ACC,power,1468.67,71.0414,0.0597647,11,7
Portland,561036.0,WCC,mid-major,983.566,70.098,0.0601412,7,12
Portland St.,561035.0,Big Sky,mid-major,1053.32,65.9811,0.0602849,11,8
Prairie View,561038.0,SWAC,mid-major,937.948,70.7519,0.0601373,7,10
Presbyterian,560618.0,Big South,mid-major,801.799,71.8607,0.0601883,9,12
Princeton,561040.0,Ivy,mid-major,1683.51,90.3013,0.0600024,15,1
Providence,561042.0,Big East,power,1598.21,68.8899,0.0601015,12,6
Purdue,561044.0,Big 10,power,2002.97,79.6488,0.0600775,17,2
